2 20 1 2
5 21 2 3
6 24 3 4
9 25 4 5
10 28 5 6
13 29 6 7
14 32 7 8
18 19 1 9
19 38 9 10
19 20 1 10
20 21 2 10
21 22 3 10
22 39 10 11
22 23 3 11
23 42 11 12
23 24 3 12
24 25 4 12
25 26 5 12
26 43 12 13
26 27 5 13
27 46 13 14
27 28 5 14
28 29 6 14
29 30 7 14
30 47 14 15
30 31 7 15
31 50 15 16
31 32 7 16
32 33 8 16
36 37 9 17
37 56 17 18
37 38 9 18
38 39 10 18
39 40 11 18
40 57 18 19
40 41 11 19
41 60 19 20
41 42 11 20
42 43 12 20
43 44 13 20
44 61 20 21
44 45 13 21
45 64 21 22
45 46 13 22
46 47 14 22
47 48 15 22
48 65 22 23
48 49 15 23
49 68 23 24
49 50 15 24
50 51 16 24
54 55 17 25
55 74 25 26
55 56 17 26
56 57 18 26
57 58 19 26
58 75 26 27
58 59 19 27
59 78 27 28
59 60 19 28
60 61 20 28
61 62 21 28
62 79 28 29
62 63 21 29
63 82 29 30
63 64 21 30
64 65 22 30
65 66 23 30
66 83 30 31
66 67 23 31
67 86 31 32
67 68 23 32
68 69 24 32
72 73 25 33
73 92 33 34
73 74 25 34
74 75 26 34
75 76 27 34
76 93 34 35
76 77 27 35
77 96 35 36
77 78 27 36
78 79 28 36
79 80 29 36
80 97 36 37
80 81 29 37
81 100 37 38
81 82 29 38
82 83 30 38
83 84 31 38
84 101 38 39
84 85 31 39
85 104 39 40
85 86 31 40
86 87 32 40
90 91 33 41
91 110 41 42
91 92 33 42
92 93 34 42
93 94 35 42
94 111 42 43
94 95 35 43
95 114 43 44
95 96 35 44
96 97 36 44
97 98 37 44
98 115 44 45
98 99 37 45
99 118 45 46
99 100 37 46
100 101 38 46
101 102 39 46
102 119 46 47
102 103 39 47
103 122 47 48
103 104 39 48
104 105 40 48
108 109 41 49
109 128 49 50
109 110 41 50
110 111 42 50
111 112 43 50
112 129 50 51
112 113 43 51
113 132 51 52
113 114 43 52
114 115 44 52
115 116 45 52
116 133 52 53
116 117 45 53
117 136 53 54
117 118 45 54
118 119 46 54
119 120 47 54
120 137 54 55
120 121 47 55
121 140 55 56
121 122 47 56
122 123 48 56
126 127 49 57
127 146 57 58
127 128 49 58
128 129 50 58
129 130 51 58
130 147 58 59
130 131 51 59
131 150 59 60
131 132 51 60
132 133 52 60
133 134 53 60
134 151 60 61
134 135 53 61
135 154 61 62
135 136 53 62
136 137 54 62
137 138 55 62
138 155 62 63
138 139 55 63
139 158 63 64
139 140 55 64
140 141 56 64
